[0.000000] [mapper_bare_metal/INFO] Process ID: 1217357, Thread ID: 1217374, Task ID: Inter, Core ID: 0 => read: Task10->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217357, Thread ID: 1217374, Task ID: Inter, Core ID: 0 => read: Task9->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217357, Thread ID: 1217374, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217418, Thread ID: 1217435, Task ID: Inter, Core ID: 0 => read: Task15->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217418, Thread ID: 1217435, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217418, Thread ID: 1217435, Task ID: Inter, Core ID: 0 => read: Task9->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217418, Thread ID: 1217435, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217478, Thread ID: 1217496, Task ID: Inter, Core ID: 0 => read: Task15->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217478, Thread ID: 1217496, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217478, Thread ID: 1217496, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217478, Thread ID: 1217496, Task ID: Inter, Core ID: 0 => read: Task11->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217540, Thread ID: 1217557, Task ID: Inter, Core ID: 0 => read: Task12->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217540, Thread ID: 1217557, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217540, Thread ID: 1217557, Task ID: Inter, Core ID: 0 => read: Task11->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217540, Thread ID: 1217557, Task ID: Inter, Core ID: 0 => read: Task15->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217618, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217618, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217618, Task ID: Inter, Core ID: 0 => read: Task12->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217618, Task ID: Inter, Core ID: 0 => read: Task10->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217618, Task ID: Inter, Core ID: 0 => read: Task15->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217601, Thread ID: 1217629, Task ID: Task25, Core ID: 24 => read: Inter->Task25, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217727, Thread ID: 1217760, Task ID: Inter, Core ID: 0 => read: Task14->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217727, Thread ID: 1217760, Task ID: Inter, Core ID: 0 => read: Task11->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217727, Thread ID: 1217760, Task ID: Inter, Core ID: 0 => read: Task13->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217727, Thread ID: 1217760, Task ID: Inter, Core ID: 0 => read: Task16->Inter, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1217727, Thread ID: 1217789, Task ID: Task60, Core ID: 25 => read: Inter->Task60, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
