[0.000000] [mapper_bare_metal/INFO] Process ID: 28793, Thread ID: 28826, Task ID: Task_10, Core ID: 29 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28793, Thread ID: 28824, Task ID: Task_11, Core ID: 27 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28793, Thread ID: 28836, Task ID: Task_8, Core ID: 25 => read: Task_0->Task_8, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28850, Thread ID: 28875, Task ID: Task_10, Core ID: 29 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28850, Thread ID: 28873, Task ID: Task_11, Core ID: 27 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28850, Thread ID: 28877, Task ID: Task_9, Core ID: 31 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28904, Thread ID: 28920, Task ID: Task_10, Core ID: 29 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28904, Thread ID: 28922, Task ID: Task_9, Core ID: 31 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28904, Thread ID: 28944, Task ID: Task_7, Core ID: 27 => read: Task_0->Task_7, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 28904, Thread ID: 28945, Task ID: Task_8, Core ID: 26 => read: Task_0->Task_8, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
